,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
17604,21301001,0,1610612742,DAL,Dallas,36,13,4,15,12,2,0.0,13.0,9.0,12.0,1610612738,BOS,Boston,32,16,13,4,1.0,17.0,6.0,19.0
17605,21300998,0,1610612756,PHX,Phoenix,44,9,11,0,0,2,1.0,17.0,13.0,19.0,1610612751,BKN,Brooklyn,52,5,20,23,1.0,17.0,6.0,17.0
17606,21300997,0,1610612755,PHI,Philadelphia,36,15,6,9,10,9,1.0,19.0,9.0,22.0,1610612754,IND,Indiana,48,23,9,10,0.0,15.0,6.0,12.0
17607,21300999,0,1610612760,OKC,Oklahoma City,28,5,13,16,14,5,2.0,13.0,11.0,19.0,1610612741,CHI,Chicago,30,16,7,4,1.0,6.0,11.0,4.0
17608,21301005,0,1610612749,MIL,Milwaukee,56,12,14,7,23,15,0.0,19.0,13.0,26.0,1610612757,POR,Portland,46,13,11,8,0.0,16.0,7.0,18.0
17609,21301007,0,1610612744,GSW,Golden State,34,11,18,24,13,4,0.0,11.0,3.0,12.0,1610612753,ORL,Orlando,38,6,4,3,0.0,16.0,7.0,16.0
17610,21301004,0,1610612737,ATL,Atlanta,48,15,11,5,23,12,2.0,9.0,9.0,12.0,1610612761,TOR,Toronto,48,16,12,13,0.0,15.0,3.0,22.0
17611,21301003,0,1610612748,MIA,Miami,24,3,12,14,16,11,0.0,14.0,10.0,13.0,1610612739,CLE,Cleveland,44,3,10,4,1.0,20.0,7.0,26.0
17612,21301006,0,1610612764,WAS,Washington,38,10,17,11,10,6,0.0,15.0,11.0,23.0,1610612758,SAC,Sacramento,44,23,9,13,0.0,20.0,8.0,20.0
17613,21301010,0,1610612766,CHA,Charlotte,34,14,3,6,11,7,0.0,15.0,2.0,21.0,1610612751,BKN,Brooklyn,34,12,12,13,0.0,7.0,7.0,10.0
17614,21301017,0,1610612759,SAS,San Antonio,54,15,16,17,8,14,0.0,12.0,5.0,10.0,1610612747,LAL,Los Angeles,48,14,10,2,0.0,12.0,4.0,14.0
17615,21301009,0,1610612748,MIA,Miami,50,22,13,14,8,10,0.0,12.0,5.0,15.0,1610612738,BOS,Boston,20,7,0,6,0.0,13.0,6.0,10.0
17616,21301016,0,1610612753,ORL,Orlando,34,17,7,6,11,13,1.0,20.0,9.0,24.0,1610612756,PHX,Phoenix,56,14,25,21,0.0,16.0,8.0,14.0
17617,21301015,0,1610612743,DEN,Denver,48,15,26,13,6,1,0.0,12.0,7.0,23.0,1610612765,DET,Detroit,58,16,21,11,1.0,13.0,12.0,15.0
17618,21301013,0,1610612754,IND,Indiana,38,5,0,1,8,1,0.0,13.0,7.0,6.0,1610612752,NYK,New York,30,12,3,16,1.0,11.0,13.0,9.0
17619,21301011,0,1610612763,MEM,Memphis,54,6,14,18,0,1,1.0,13.0,7.0,12.0,1610612762,UTA,Utah,40,6,13,0,2.0,17.0,8.0,23.0
17620,21301008,0,1610612755,PHI,Philadelphia,36,12,28,3,5,7,3.0,14.0,8.0,12.0,1610612741,CHI,Chicago,38,11,17,11,1.0,16.0,8.0,18.0
17621,21301018,0,1610612760,OKC,Oklahoma City,36,18,2,24,4,5,2.0,18.0,9.0,24.0,1610612739,CLE,Cleveland,36,11,10,7,0.0,12.0,11.0,11.0
17622,21301021,0,1610612744,GSW,Golden State,52,10,27,10,8,3,0.0,15.0,3.0,24.0,1610612749,MIL,Milwaukee,58,14,18,3,1.0,11.0,11.0,15.0
17623,21301019,0,1610612745,HOU,Houston,60,11,25,29,9,3,0.0,15.0,6.0,18.0,1610612750,MIN,Minnesota,44,19,4,10,2.0,16.0,4.0,26.0
17624,21301023,0,1610612752,NYK,New York,42,13,11,17,7,8,1.0,12.0,13.0,19.0,1610612755,PHI,Philadelphia,34,19,14,5,1.0,11.0,6.0,11.0
17625,21301028,0,1610612742,DAL,Dallas,42,14,10,19,7,4,0.0,16.0,6.0,22.0,1610612743,DEN,Denver,44,20,16,6,0.0,16.0,4.0,18.0
17626,21301025,0,1610612737,ATL,Atlanta,48,13,15,8,11,9,0.0,16.0,8.0,22.0,1610612740,NOP,New Orleans,42,10,12,10,0.0,15.0,13.0,12.0
17627,21301030,0,1610612758,SAC,Sacramento,28,4,13,2,3,3,0.0,15.0,10.0,10.0,1610612759,SAS,San Antonio,44,19,9,20,0.0,9.0,7.0,8.0
17628,21301027,0,1610612763,MEM,Memphis,58,17,10,12,10,11,2.0,17.0,7.0,23.0,1610612748,MIA,Miami,34,8,11,5,1.0,15.0,7.0,18.0
